Dataset version v1.1,Number of lines in the table : 1000,"Legend: maybe relevant, irrelevant, duplicate",,,,,,
,,General characteristics: 8208626 rows (for all players) 84 columns,,,,,,
# Column ,Name of the Column,Description,Variable's type,Percentage of missing values,Amount of missing values,Categorical / Quantitative ,Distribution,Comments
13,SHOT_TYPE,Point distance of the shot (2 or 3 pt shot),str,0.01%,725,Categorical - Binary,"Unique values: ['2PT Field Goal', '1PT Free Throw', '3PT Field Goal', nan]",
14,SHOT_ZONE_BASIC,Classification of the shot zone in basketball terms,str,0.01%,724,Categorical - 6 to 10 categories,"Unique values: ['Restricted Area', 'Mid-Range', 'In The Paint (Non-RA)', 'Above the Break 3', 'Backcourt', 'Left Corner 3', 'Right Corner 3']",
15,SHOT_ZONE_AREA,"Classification of the shot zone, based on areas",str,0.01%,724,Categorical - 6 to 10 categories,"Unique values: ['Center(C)', 'Right Side(R)', 'Left Side(L)', 'Right Side Center(RC)', 'Back Court(BC)', 'Left Side Center(LC)']",
16,SHOT_ZONE_RANGE,Classification of the shot distance in ft,str,0.01%,724,Categorical - 3 to 5 categories,"Unique values: ['Less Than 8 ft.', '16-24 ft.', '8-16 ft.', '24+ ft.', 'Back Court Shot']",
17,SHOT_DISTANCE,Shot distance to rim in ft,int64,0.01%,724,Quantitative,"Mean: 12.57, Std: 8.95, Min: 0.0, 25%: 3.0, 50%: 15.0, 75%: 19.0, Max: 90.0",
18,LOC_X,Coordinate of shot along the width of the court relative to its central axis,int64,0.01%,724,Quantitative,"Mean: -1.10, Std: 96.10, Min: -250.0, 25%: -18.0, 50%: 0.0, 75%: 19.0, Max: 250.0",
19,LOC_Y,Coordinate of shot along the length of the court relative to its central axis (y=0 is the basket),int64,0.01%,724,Quantitative,"Mean: 63.59, Std: 81.87, Min: -52.0, 25%: 10.0, 50%: 15.0, 75%: 110.0, Max: 884.0",
20,SHOT_ATTEMPTED_FLAG,Flag for attempted shots (always 1),int64,0.01%,724,Categorical - Binary,"Mean: 1.00, Std: 0.00, Min: 1.0, 25%: 1.0, 50%: 1.0, 75%: 1.0, Max: 1.0",
21,SHOT_MADE_FLAG,Flag for successful shots,int64,0.01%,724,Categorical - Binary,"Mean: 0.50, Std: 0.50, Min: 0.0, 25%: 0.0, 50%: 1.0, 75%: 1.0, Max: 1.0",
22,GAME_DATE,Game date in formt YYYYMMDD,int64,21.40%,1756728,Quantitative,,
23,HTM,Home team Abbreviation,str,21.40%,1756728,Unique Value,37 unique values,
24,VTM,Visiting team Abbreviation,str,21.40%,1756728,Unique Value,37 unique values,
25,actionNumber,Same as GAME_EVENT_ID,float64,0.00%,0,Unique Value,"Mean: 263.59, Std: 168.70, Min: 0.0, 25%: 119.0, 50%: 256.0, 75%: 391.0, Max: 1012.0",
26,clock,Combination of remaining minutes and second of current period (e.g. PT11M08.00S --> 11 minutes and 8 s remaining),str,0.00%,0,Quantitative,,
27,period,same as PERIOD_x,float64,0.00%,0,Categorical - 6 to 10 categories,,
28,teamId,same as TEAM_ID,float64,0.00%,0,Unique Value,,
29,teamTricode,team abbreviation of the player doing the throw,str,0.00%,4,Unique Value,37 unique values,
30,personId,same as PLAYER_ID,float64,0.00%,0,Unique Value,,
31,playerName,player last name,str,0.00%,129,Unique Value,1802 unique values,
32,playerNameI,"player full name, of format S. Smith",str,0.00%,129,Unique Value,2479 unique values,
33,xLegacy,same as LOC_X,float64,0.00%,0,Quantitative,"Mean: -1.11, Std: 95.78, Min: -16398.0, 25%: -15.0, 50%: 0.0, 75%: 16.0, Max: 328.0",
34,yLegacy,same as LOC_Y,float64,0.00%,0,Quantitative,"Mean: 62.31, Std: 82.04, Min: -4098.0, 25%: 7.0, 50%: 15.0, 75%: 108.0, Max: 884.0",
35,shotDistance,Shot distance to rim in ft. Not exactly the same as SHOT_DISTANCE,float64,0.00%,0,Quantitative,"Mean: 11.96, Std: 9.26, Min: 0.0, 25%: 2.0, 50%: 15.0, 75%: 18.0, Max: 1640.0","Difference SHOT_DISTANCE - shotDistance: count    6.451956e+06
mean     7.719812e-01
std      4.862768e+00
min     -2.600000e+01
25%     -1.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      8.700000e+01"
36,shotResult,"string, if shot was succesfull",str,4.38%,359710,Categorical - Binary,"Unique values: ['Made', 'Missed', nan]",
37,isFieldGoal,"Indicator, if row corresponds to a field goal attempt. A field goal is a shot in the regular play time (no free throws)",float64,0.00%,0,Categorical - Binary,"Mean: 0.74, Std: 0.44, Min: 0.0, 25%: 0.0, 50%: 1.0, 75%: 1.0, Max: 1.0","In some cases one shot has 2 rows, one for the shot itself. And one for e.g. the block of the shot. For the block the field would be 0. Also the case for missed free throws"
38,scoreHome,Home team score,float64,21.84%,1792928,Quantitative,"Mean: 34.38, Std: 35.99, Min: 0.0, 25%: 0.0, 50%: 24.0, 75%: 64.0, Max: 175.0","In some cases one shot has 2 rows, one for the shot itself. And one for e.g. the block of the shot. For the block the field would be 0. Also the case for missed free throws"
39,scoreAway,Away team score,float64,21.84%,1792928,Quantitative,"Mean: 33.29, Std: 34.99, Min: 0.0, 25%: 0.0, 50%: 23.0, 75%: 62.0, Max: 176.0","In some cases one shot has 2 rows, one for the shot itself. And one for e.g. the block of the shot. For the block the field would be 0. Also the case for missed free throws"
40,pointsTotal,Sum of home and away score,float64,0.00%,0,Quantitative,"Mean: 52.89, Std: 68.30, Min: 0.0, 25%: 0.0, 50%: 1.0, 75%: 105.0, Max: 351.0","In some cases one shot has 2 rows, one for the shot itself. And one for e.g. the block of the shot. For the block the field would be 0. Also the case for missed free throws"
41,location,"Side of the basketball field (v: visitor, h: home)",str,0.00%,1,Categorical - Binary,"Unique values: ['v', 'h', nan]",
42,description,Play by play describtion (like text from a liveticker),str,0.00%,0,Unique Value,2538508 unique values,
43,actionType,,str,4.38%,359710,Categorical - more than 10 categories,"Unique values: ['Made Shot', 'Free Throw', 'Missed Shot', nan, 'Made Shot                               ', 'Missed Shot                             ']

",
44,subType,"Detailed type of the shot (e.g. 'Jump Shot', 'Dunk Shot')",str,4.38%,359710,Categorical - more than 10 categories,89 unique values,
45,videoAvailable,Flag if a video is available for this shot,float64,0.00%,0,Categorical - Binary,"Mean: 0.36, Std: 0.48, Min: 0.0, 25%: 0.0, 50%: 0.0, 75%: 1.0, Max: 1.0",
46,actionId,"Additional identifier for the action. Not the same as GAME_EVENT_ID. One shot and the block can have the same GAME_EVENT_ID, but a different actionId",float64,0.00%,0,Unique Value,,
47,gameId,Same as GAME_ID,float64,0.00%,0,Unique Value,,
2,GAME_ID_y,Unique identifier of the game,int64,0.01%,717,Unique Value,,
48,EVENTNUM,Same as GAME_EVENT_ID,float64,0.01%,717,Unique Value,,
49,EVENTMSGTYPE,"Type of the event (1-12), no description available",float64,0.01%,717,Categorical - more than 10 categories,12 unique values,
50,EVENTMSGACTIONTYPE,"Detailed type of the event, no description available",float64,0.01%,717,Categorical - more than 10 categories,85 unique values,
51,PERIOD_y,Same as PERIOD_x,float64,0.01%,717,Categorical - 6 to 10 categories,,
52,WCTIMESTRING,Time in format 12:43 PM,str,0.01%,717,Quantitative,,
53,PCTIMESTRING,"Remaining time in period, in format 11:08",str,0.01%,717,Quantitative,,
54,HOMEDESCRIPTION,Description of home team action (e.g. Block),str,45.27%,3715939,Unique Value,1428347 unique values,
55,NEUTRALDESCRIPTION,Description of game state. Only one value available,str,100.00%,8208625,Unique Value,"Unique values: [nan, 'No Shot']",
56,VISITORDESCRIPTION,Description of visitor team action (e.g. Block),str,45.98%,3774042,Unique Value,1405940 unique values,
57,SCORE,Current score in format 2 - 3,str,50.00%,4104210,Quantitative,11844 unique values,
58,SCOREMARGIN,"Differnence in score, e.g. 1 for SCORE 2 - 3",str,50.00%,4104210,Quantitative,143 unique values,
59,PERSON1TYPE,Type of first player involved in the action (no description for the meaning available),float64,0.01%,717,Categorical - 6 to 10 categories,"[np.float64(5.0),
 np.float64(4.0),
 np.float64(nan),
 np.float64(3.0),
 np.float64(2.0),
 np.float64(0.0)]",
60,PLAYER1_ID,ID of first player involved in the action,float64,0.01%,717,Unique Value,,
61,PLAYER1_NAME,Full name of first player involved in the action,str,0.01%,860,Unique Value,2761 unique values,
62,PLAYER1_TEAM_ID,Team ID of first player involved in the action,float64,0.01%,719,Unique Value,,
63,PLAYER1_TEAM_CITY,Team city of first player involved in the action,str,0.01%,719,Unique Value,35 unique values,
64,PLAYER1_TEAM_NICKNAME,Team nickname of first player involved in the action,str,0.01%,719,Unique Value,34 unique values,
65,PLAYER1_TEAM_ABBREVIATION,Team abbreviation of first player involved in the action,str,0.01%,719,Unique Value,37 unique values,
66,PERSON2TYPE,Type of second player involved in the action (no description for the meaning available),float64,0.01%,717,Categorical - 6 to 10 categories,,
67,PLAYER2_ID,ID of second player involved in the action,float64,0.01%,717,Unique Value,,
68,PLAYER2_NAME,Full name of second player involved in the action,str,79.93%,6561443,Unique Value,2639 unique values,
69,PLAYER2_TEAM_ID,Team ID of second player involved in the action,float64,79.93%,6561387,Unique Value,,
70,PLAYER2_TEAM_CITY,Team city of second player involved in the action,str,79.93%,6561387,Unique Value,35 unique values,
71,PLAYER2_TEAM_NICKNAME,Team nickname of second player involved in the action,str,79.93%,6561387,Unique Value,34 unique values,
72,PLAYER2_TEAM_ABBREVIATION,Team abbreviation of second player involved in the action,str,79.93%,6561387,Unique Value,37 unique values,
73,PERSON3TYPE,Type of third player involved in the action (no description for the meaning available),float64,0.01%,717,Categorical - 6 to 10 categories,,
74,PLAYER3_ID,ID of third player involved in the action,float64,0.01%,717,Unique Value,,
75,PLAYER3_NAME,Full name of third player involved in the action,str,91.24%,7489268,Unique Value,2447 unique values,
76,PLAYER3_TEAM_ID,Team ID of third player involved in the action,float64,91.17%,7483911,Unique Value,,
77,PLAYER3_TEAM_CITY,Team city of third player involved in the action,str,91.17%,7483911,Unique Value,35 unique values,
78,PLAYER3_TEAM_NICKNAME,Team nickname of third player involved in the action,str,91.17%,7483911,Unique Value,34 unique values,
79,PLAYER3_TEAM_ABBREVIATION,Team abbreviation of third player involved in the action,str,91.17%,7483911,Unique Value,37 unique values,
80,VIDEO_AVAILABLE_FLAG,same as videoAvailable,float64,0.01%,717,Categorical - Binary,"Mean: 0.36, Std: 0.48, Min: 0.0, 25%: 0.0, 50%: 0.0, 75%: 1.0, Max: 1.0",
81,year,current year,int64,0.00%,0,Quantitative,"Mean: 2010.32, Std: 8.32, Min: 1996.0, 25%: 2003.0, 50%: 2010.0, 75%: 2018.0, Max: 2024.0",
82,is_playoffs,Flag if game is in the playoffs,bool,0.00%,0,Categorical - Binary,"count: 8208626, most frequent entry: False, amount: 7688452",
83,shotValue,Score of the shot,float64,96.30%,7904578,Categorical - Binary,"[np.float64(nan), np.float64(3.0), np.float64(2.0)]",
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
103,,,,,,,,
104,,,,,,,,
105,,,,,,,,
106,,,,,,,,
107,,,,,,,,
108,,,,,,,,
109,,,,,,,,
110,,,,,,,,
111,,,,,,,,
112,,,,,,,,
113,,,,,,,,
114,,,,,,,,
115,,,,,,,,
116,,,,,,,,
117,,,,,,,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,,
121,,,,,,,,
122,,,,,,,,
123,,,,,,,,
124,,,,,,,,
125,,,,,,,,
126,,,,,,,,
127,,,,,,,,
128,,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,,,,,,,,
132,,,,,,,,
133,,,,,,,,
134,,,,,,,,
135,,,,,,,,
136,,,,,,,,
137,,,,,,,,
138,,,,,,,,
139,,,,,,,,
140,,,,,,,,
141,,,,,,,,
142,,,,,,,,
143,,,,,,,,
144,,,,,,,,
145,,,,,,,,
146,,,,,,,,
147,,,,,,,,
148,,,,,,,,
149,,,,,,,,
150,,,,,,,,
151,,,,,,,,
152,,,,,,,,
153,,,,,,,,
154,,,,,,,,
155,,,,,,,,
156,,,,,,,,
157,,,,,,,,
158,,,,,,,,
159,,,,,,,,
160,,,,,,,,
161,,,,,,,,
162,,,,,,,,
163,,,,,,,,
164,,,,,,,,
165,,,,,,,,
166,,,,,,,,
167,,,,,,,,
168,,,,,,,,
169,,,,,,,,
170,,,,,,,,
171,,,,,,,,
172,,,,,,,,
173,,,,,,,,
174,,,,,,,,
175,,,,,,,,
176,,,,,,,,
177,,,,,,,,
178,,,,,,,,
179,,,,,,,,
180,,,,,,,,
181,,,,,,,,
182,,,,,,,,
183,,,,,,,,
184,,,,,,,,
185,,,,,,,,
186,,,,,,,,
187,,,,,,,,
188,,,,,,,,
189,,,,,,,,
190,,,,,,,,
191,,,,,,,,
192,,,,,,,,
193,,,,,,,,
194,,,,,,,,
195,,,,,,,,
196,,,,,,,,
197,,,,,,,,
198,,,,,,,,
199,,,,,,,,
200,,,,,,,,
201,,,,,,,,
202,,,,,,,,
203,,,,,,,,
204,,,,,,,,
205,,,,,,,,
206,,,,,,,,
207,,,,,,,,
208,,,,,,,,
209,,,,,,,,
210,,,,,,,,
211,,,,,,,,
212,,,,,,,,
213,,,,,,,,
214,,,,,,,,
215,,,,,,,,
216,,,,,,,,
217,,,,,,,,
218,,,,,,,,
219,,,,,,,,
220,,,,,,,,
221,,,,,,,,
222,,,,,,,,
223,,,,,,,,
224,,,,,,,,
225,,,,,,,,
226,,,,,,,,
227,,,,,,,,
228,,,,,,,,
229,,,,,,,,
230,,,,,,,,
231,,,,,,,,
232,,,,,,,,
233,,,,,,,,
234,,,,,,,,
235,,,,,,,,
236,,,,,,,,
237,,,,,,,,
238,,,,,,,,
239,,,,,,,,
240,,,,,,,,
241,,,,,,,,
242,,,,,,,,
243,,,,,,,,
244,,,,,,,,
245,,,,,,,,
246,,,,,,,,
247,,,,,,,,
248,,,,,,,,
249,,,,,,,,
250,,,,,,,,
251,,,,,,,,
252,,,,,,,,
253,,,,,,,,
254,,,,,,,,
255,,,,,,,,
256,,,,,,,,
257,,,,,,,,
258,,,,,,,,
259,,,,,,,,
260,,,,,,,,
261,,,,,,,,
262,,,,,,,,
263,,,,,,,,
264,,,,,,,,
265,,,,,,,,
266,,,,,,,,
267,,,,,,,,
268,,,,,,,,
269,,,,,,,,
270,,,,,,,,
271,,,,,,,,
272,,,,,,,,
273,,,,,,,,
274,,,,,,,,
275,,,,,,,,
276,,,,,,,,
277,,,,,,,,
278,,,,,,,,
279,,,,,,,,
280,,,,,,,,
281,,,,,,,,
282,,,,,,,,
283,,,,,,,,
284,,,,,,,,
285,,,,,,,,
286,,,,,,,,
287,,,,,,,,
288,,,,,,,,
289,,,,,,,,
290,,,,,,,,
291,,,,,,,,
292,,,,,,,,
293,,,,,,,,
294,,,,,,,,
295,,,,,,,,
296,,,,,,,,
297,,,,,,,,
298,,,,,,,,
299,,,,,,,,
300,,,,,,,,
301,,,,,,,,
302,,,,,,,,
303,,,,,,,,
304,,,,,,,,
305,,,,,,,,
306,,,,,,,,
307,,,,,,,,
308,,,,,,,,
309,,,,,,,,
310,,,,,,,,
311,,,,,,,,
312,,,,,,,,
313,,,,,,,,
314,,,,,,,,
315,,,,,,,,
316,,,,,,,,
317,,,,,,,,
318,,,,,,,,
319,,,,,,,,
320,,,,,,,,
321,,,,,,,,
322,,,,,,,,
323,,,,,,,,
324,,,,,,,,
325,,,,,,,,
326,,,,,,,,
327,,,,,,,,
328,,,,,,,,
329,,,,,,,,
330,,,,,,,,
331,,,,,,,,
332,,,,,,,,
333,,,,,,,,
334,,,,,,,,
335,,,,,,,,
336,,,,,,,,
337,,,,,,,,
338,,,,,,,,
339,,,,,,,,
340,,,,,,,,
341,,,,,,,,
342,,,,,,,,
343,,,,,,,,
344,,,,,,,,
345,,,,,,,,
346,,,,,,,,
347,,,,,,,,
348,,,,,,,,
349,,,,,,,,
350,,,,,,,,
351,,,,,,,,
352,,,,,,,,
353,,,,,,,,
354,,,,,,,,
355,,,,,,,,
356,,,,,,,,
357,,,,,,,,
358,,,,,,,,
359,,,,,,,,
360,,,,,,,,
361,,,,,,,,
362,,,,,,,,
363,,,,,,,,
364,,,,,,,,
365,,,,,,,,
366,,,,,,,,
367,,,,,,,,
368,,,,,,,,
369,,,,,,,,
370,,,,,,,,
371,,,,,,,,
372,,,,,,,,
373,,,,,,,,
374,,,,,,,,
375,,,,,,,,
376,,,,,,,,
377,,,,,,,,
378,,,,,,,,
379,,,,,,,,
380,,,,,,,,
381,,,,,,,,
382,,,,,,,,
383,,,,,,,,
384,,,,,,,,
385,,,,,,,,
386,,,,,,,,
387,,,,,,,,
388,,,,,,,,
389,,,,,,,,
390,,,,,,,,
391,,,,,,,,
392,,,,,,,,
393,,,,,,,,
394,,,,,,,,
395,,,,,,,,
396,,,,,,,,
397,,,,,,,,
398,,,,,,,,
399,,,,,,,,
400,,,,,,,,
401,,,,,,,,
402,,,,,,,,
403,,,,,,,,
404,,,,,,,,
405,,,,,,,,
406,,,,,,,,
407,,,,,,,,
408,,,,,,,,
409,,,,,,,,
410,,,,,,,,
411,,,,,,,,
412,,,,,,,,
413,,,,,,,,
414,,,,,,,,
415,,,,,,,,
416,,,,,,,,
417,,,,,,,,
418,,,,,,,,
419,,,,,,,,
420,,,,,,,,
421,,,,,,,,
422,,,,,,,,
423,,,,,,,,
424,,,,,,,,
425,,,,,,,,
426,,,,,,,,
427,,,,,,,,
428,,,,,,,,
429,,,,,,,,
430,,,,,,,,
431,,,,,,,,
432,,,,,,,,
433,,,,,,,,
434,,,,,,,,
435,,,,,,,,
436,,,,,,,,
437,,,,,,,,
438,,,,,,,,
439,,,,,,,,
440,,,,,,,,
441,,,,,,,,
442,,,,,,,,
443,,,,,,,,
444,,,,,,,,
445,,,,,,,,
446,,,,,,,,
447,,,,,,,,
448,,,,,,,,
449,,,,,,,,
450,,,,,,,,
451,,,,,,,,
452,,,,,,,,
453,,,,,,,,
454,,,,,,,,
455,,,,,,,,
456,,,,,,,,
457,,,,,,,,
458,,,,,,,,
459,,,,,,,,
460,,,,,,,,
461,,,,,,,,
462,,,,,,,,
463,,,,,,,,
464,,,,,,,,
465,,,,,,,,
466,,,,,,,,
467,,,,,,,,
468,,,,,,,,
469,,,,,,,,
470,,,,,,,,
471,,,,,,,,
472,,,,,,,,
473,,,,,,,,
474,,,,,,,,
475,,,,,,,,
476,,,,,,,,
477,,,,,,,,
478,,,,,,,,
479,,,,,,,,
480,,,,,,,,
481,,,,,,,,
482,,,,,,,,
483,,,,,,,,
484,,,,,,,,
485,,,,,,,,
486,,,,,,,,
487,,,,,,,,
488,,,,,,,,
489,,,,,,,,
490,,,,,,,,
491,,,,,,,,
492,,,,,,,,
493,,,,,,,,
494,,,,,,,,
495,,,,,,,,
496,,,,,,,,
497,,,,,,,,
498,,,,,,,,
499,,,,,,,,
500,,,,,,,,
501,,,,,,,,
502,,,,,,,,
503,,,,,,,,
504,,,,,,,,
505,,,,,,,,
506,,,,,,,,
507,,,,,,,,
508,,,,,,,,
509,,,,,,,,
510,,,,,,,,
511,,,,,,,,
512,,,,,,,,
513,,,,,,,,
514,,,,,,,,
515,,,,,,,,
516,,,,,,,,
517,,,,,,,,
518,,,,,,,,
519,,,,,,,,
520,,,,,,,,
521,,,,,,,,
522,,,,,,,,
523,,,,,,,,
524,,,,,,,,
525,,,,,,,,
526,,,,,,,,
527,,,,,,,,
528,,,,,,,,
529,,,,,,,,
530,,,,,,,,
531,,,,,,,,
532,,,,,,,,
533,,,,,,,,
534,,,,,,,,
535,,,,,,,,
536,,,,,,,,
537,,,,,,,,
538,,,,,,,,
539,,,,,,,,
540,,,,,,,,
541,,,,,,,,
542,,,,,,,,
543,,,,,,,,
544,,,,,,,,
545,,,,,,,,
546,,,,,,,,
547,,,,,,,,
548,,,,,,,,
549,,,,,,,,
550,,,,,,,,
551,,,,,,,,
552,,,,,,,,
553,,,,,,,,
554,,,,,,,,
555,,,,,,,,
556,,,,,,,,
557,,,,,,,,
558,,,,,,,,
559,,,,,,,,
560,,,,,,,,
561,,,,,,,,
562,,,,,,,,
563,,,,,,,,
564,,,,,,,,
565,,,,,,,,
566,,,,,,,,
567,,,,,,,,
568,,,,,,,,
569,,,,,,,,
570,,,,,,,,
571,,,,,,,,
572,,,,,,,,
573,,,,,,,,
574,,,,,,,,
575,,,,,,,,
576,,,,,,,,
577,,,,,,,,
578,,,,,,,,
579,,,,,,,,
580,,,,,,,,
581,,,,,,,,
582,,,,,,,,
583,,,,,,,,
584,,,,,,,,
585,,,,,,,,
586,,,,,,,,
587,,,,,,,,
588,,,,,,,,
589,,,,,,,,
590,,,,,,,,
591,,,,,,,,
592,,,,,,,,
593,,,,,,,,
594,,,,,,,,
595,,,,,,,,
596,,,,,,,,
597,,,,,,,,
598,,,,,,,,
599,,,,,,,,
600,,,,,,,,
601,,,,,,,,
602,,,,,,,,
603,,,,,,,,
604,,,,,,,,
605,,,,,,,,
606,,,,,,,,
607,,,,,,,,
608,,,,,,,,
609,,,,,,,,
610,,,,,,,,
611,,,,,,,,
612,,,,,,,,
613,,,,,,,,
614,,,,,,,,
615,,,,,,,,
616,,,,,,,,
617,,,,,,,,
618,,,,,,,,
619,,,,,,,,
620,,,,,,,,
621,,,,,,,,
622,,,,,,,,
623,,,,,,,,
624,,,,,,,,
625,,,,,,,,
626,,,,,,,,
627,,,,,,,,
628,,,,,,,,
629,,,,,,,,
630,,,,,,,,
631,,,,,,,,
632,,,,,,,,
633,,,,,,,,
634,,,,,,,,
635,,,,,,,,
636,,,,,,,,
637,,,,,,,,
638,,,,,,,,
639,,,,,,,,
640,,,,,,,,
641,,,,,,,,
642,,,,,,,,
643,,,,,,,,
644,,,,,,,,
645,,,,,,,,
646,,,,,,,,
647,,,,,,,,
648,,,,,,,,
649,,,,,,,,
650,,,,,,,,
651,,,,,,,,
652,,,,,,,,
653,,,,,,,,
654,,,,,,,,
655,,,,,,,,
656,,,,,,,,
657,,,,,,,,
658,,,,,,,,
659,,,,,,,,
660,,,,,,,,
661,,,,,,,,
662,,,,,,,,
663,,,,,,,,
664,,,,,,,,
665,,,,,,,,
666,,,,,,,,
667,,,,,,,,
668,,,,,,,,
669,,,,,,,,
670,,,,,,,,
671,,,,,,,,
672,,,,,,,,
673,,,,,,,,
674,,,,,,,,
675,,,,,,,,
676,,,,,,,,
677,,,,,,,,
678,,,,,,,,
679,,,,,,,,
680,,,,,,,,
681,,,,,,,,
682,,,,,,,,
683,,,,,,,,
684,,,,,,,,
685,,,,,,,,
686,,,,,,,,
687,,,,,,,,
688,,,,,,,,
689,,,,,,,,
690,,,,,,,,
691,,,,,,,,
692,,,,,,,,
693,,,,,,,,
694,,,,,,,,
695,,,,,,,,
696,,,,,,,,
697,,,,,,,,
698,,,,,,,,
699,,,,,,,,
700,,,,,,,,
701,,,,,,,,
702,,,,,,,,
703,,,,,,,,
704,,,,,,,,
705,,,,,,,,
706,,,,,,,,
707,,,,,,,,
708,,,,,,,,
709,,,,,,,,
710,,,,,,,,
711,,,,,,,,
712,,,,,,,,
713,,,,,,,,
714,,,,,,,,
715,,,,,,,,
716,,,,,,,,
717,,,,,,,,
718,,,,,,,,
719,,,,,,,,
720,,,,,,,,
721,,,,,,,,
722,,,,,,,,
723,,,,,,,,
724,,,,,,,,
725,,,,,,,,
726,,,,,,,,
727,,,,,,,,
728,,,,,,,,
729,,,,,,,,
730,,,,,,,,
731,,,,,,,,
732,,,,,,,,
733,,,,,,,,
734,,,,,,,,
735,,,,,,,,
736,,,,,,,,
737,,,,,,,,
738,,,,,,,,
739,,,,,,,,
740,,,,,,,,
741,,,,,,,,
742,,,,,,,,
743,,,,,,,,
744,,,,,,,,
745,,,,,,,,
746,,,,,,,,
747,,,,,,,,
748,,,,,,,,
749,,,,,,,,
750,,,,,,,,
751,,,,,,,,
752,,,,,,,,
753,,,,,,,,
754,,,,,,,,
755,,,,,,,,
756,,,,,,,,
757,,,,,,,,
758,,,,,,,,
759,,,,,,,,
760,,,,,,,,
761,,,,,,,,
762,,,,,,,,
763,,,,,,,,
764,,,,,,,,
765,,,,,,,,
766,,,,,,,,
767,,,,,,,,
768,,,,,,,,
769,,,,,,,,
770,,,,,,,,
771,,,,,,,,
772,,,,,,,,
773,,,,,,,,
774,,,,,,,,
775,,,,,,,,
776,,,,,,,,
777,,,,,,,,
778,,,,,,,,
779,,,,,,,,
780,,,,,,,,
781,,,,,,,,
782,,,,,,,,
783,,,,,,,,
784,,,,,,,,
785,,,,,,,,
786,,,,,,,,
787,,,,,,,,
788,,,,,,,,
789,,,,,,,,
790,,,,,,,,
791,,,,,,,,
792,,,,,,,,
793,,,,,,,,
794,,,,,,,,
795,,,,,,,,
796,,,,,,,,
797,,,,,,,,
798,,,,,,,,
799,,,,,,,,
800,,,,,,,,
801,,,,,,,,
802,,,,,,,,
803,,,,,,,,
804,,,,,,,,
805,,,,,,,,
806,,,,,,,,
807,,,,,,,,
808,,,,,,,,
809,,,,,,,,
810,,,,,,,,
811,,,,,,,,
812,,,,,,,,
813,,,,,,,,
814,,,,,,,,
815,,,,,,,,
816,,,,,,,,
817,,,,,,,,
818,,,,,,,,
819,,,,,,,,
820,,,,,,,,
821,,,,,,,,
822,,,,,,,,
823,,,,,,,,
824,,,,,,,,
825,,,,,,,,
826,,,,,,,,
827,,,,,,,,
828,,,,,,,,
829,,,,,,,,
